id,radius,ra,dec,transparency,stellarradius
11 Com,93.1846000,185.1787793,17.7932516,2.243,19.00
14 And,75.4392000,352.8241500,39.2358367,1.84,11.55
14 Her,17.9323000,242.6021014,43.8163621,-0.153,1.00
16 Cyg B,21.1397000,295.4656422,50.5168243,0.097,1.13
17 Sco,124.9530000,243.4620874,-11.8377905,2.254,25.92
18 Del,76.2220000,314.6078375,10.8391378,1.602,8.50
1RXS J160929.1-210524,139.1350000,242.3762343,-21.0831403,-0.403,1.31
24 Boo,95.9863000,217.1555242,49.8446488,1.774,10.64
24 Sex,72.0691000,155.8684866,-0.9023998,1.164,4.90
2MASS J04372171+2651014,128.4840000,69.3405531,26.8502997,-1.164,0.84
2MASS J01225093-2439505,33.8281000,20.7128012,-24.6646128,-1.838,0.37
2MASS J12073346-3932539,64.3080000,181.8890906,-39.5484399,-2.561,0.22
47 UMa,13.7967000,164.8647611,40.4304931,0.198,1.21
51 Eri,29.7575000,69.4007424,-2.4738245,0.752,1.49
51 Peg,15.4614000,344.3675399,20.7690958,0.136,1.18
55 Cnc,12.5855000,133.1468373,28.3298154,-0.197,0.96
6 Lyn,54.6599000,97.6960311,58.1611753,1.176,5.20
61 Vir,8.5033200,199.5964550,-18.3157745,-0.095,0.96
7 CMa,19.8101000,99.1712760,-19.2561808,1.121,5.20
70 Vir,17.9011000,202.1064898,13.7763085,0.451,1.94
75 Cet,82.9613000,38.0391598,-1.0350269,1.714,10.38
81 Cet,101.2600000,39.4243555,-3.3963607,1.778,11.00
AU Mic,9.7221000,311.2911369,-31.3424500,-1.046,0.75
BD+03 2562,1070.6300000,177.5647268,2.7601075,2.7,32.35
BD+14 4559,49.3520000,318.4010002,14.6893834,-0.32,0.95
BD+15 2375,768.0450000,176.4820239,14.6163182,1.57,8.95
BD+15 2940,426.4200000,240.0956400,15.5467507,2.01,14.70
BD+20 2457,1539.7100000,154.1867820,19.8912626,3.17,49.00
BD+20 274,1322.5100000,25.9203179,21.0052692,1.96,17.30
BD+20 594,179.4610000,53.6511231,20.5990205,-0.056,0.93
BD+48 738,871.4930000,40.7102869,49.5869395,1.69,11.00
BD+48 740,666.5890000,40.7425426,48.9300579,1.64,10.33
BD+49 828,442.0420000,45.6406187,49.7299481,1.47,7.60
BD+60 1417,44.9543000,190.8875453,60.0143636,0.356,0.80
BD-11 4672,27.1665000,278.3688659,-11.6370481,-0.804,0.64
BD-14 3065 A,589.4230000,153.6696689,-15.6428372,1.06,2.35
BD-17 63,34.4603000,7.1413494,-16.2273254,-0.678,0.69
BD-210397,23.7324000,33.3024198,-21.1962147,-0.87,0.75
CD Cet,8.6071500,48.3530155,4.7751881,-2.533,0.17
COCONUTS-2 A,10.8864000,117.3009140,-76.7026960,-1.732,0.39
CoRoT-12,1126.3700000,100.7656871,-1.2964437,0.07,1.05
CoRoT-18,764.8890000,98.1724172,-0.0316045,-0.17,0.88
CoRoT-19,790.6630000,97.0335983,-0.1707293,0.544,1.65
CoRoT-2,213.2830000,291.7770457,1.3836634,-0.131,0.94
CoRoT-20,844.0610000,97.7204249,0.2268931,0.17,1.16
CoRoT-29,806.5070000,278.9020691,6.4795703,-0.094,1.08
CoRoT-5,882.4720000,101.2772396,0.8152163,0.18,1.11
CoRoT-7,159.9060000,100.9561682,-1.0630076,-0.289,0.86
CoRoT-8,322.0370000,291.5885696,1.4262972,-0.4,0.80
CoRoTID 223977153,576.6830000,100.1951714,9.2573953,-0.155,0.79
DH Tau,134.8460000,67.4231674,26.5493897,-0.212,1.37
DMPP-2,137.9400000,27.4077310,-34.4590985,0.104,1.78
DMPP-4,25.3284000,293.5826648,51.2358069,0.459,1.38
DS Tuc A,44.0622000,354.9154673,-69.1960430,-0.14,0.96
EPIC 201595106,232.1000000,183.7203635,1.9681688,-0.026,0.99
EPIC 211822797,186.1970000,130.4102091,17.6399744,-1.153,0.59
EPIC 211945201,181.6900000,136.5741931,19.4020565,0.373,1.36
EPIC 212297394,418.3950000,207.2061241,-17.6098985,-0.467,0.78
EPIC 212587672,320.0700000,205.4445125,-10.8625468,0.038,0.95
EPIC 212737443,336.2500000,204.2215065,-7.3180577,-0.751,0.67
EPIC 220674823,244.5900000,13.0800239,10.7947051,-0.119,0.83
EPIC 228836835,150.1240000,189.5748998,-5.2446247,-1.612,0.42
EPIC 229004835,121.9710000,186.4860415,-1.4047214,0.03,1.00
EPIC 246851721,372.6320000,78.9198197,16.2786991,0.526,1.59
G 264-012,16.0090000,326.6719598,66.8038480,-1.972,0.30
G 9-40,27.9276000,134.7188514,21.0747961,-1.971,0.31
GJ 1002,4.8486700,1.6764641,-7.5462123,-2.852,0.14
GJ 1061,3.6727800,54.0032486,-44.5143104,-2.77,0.16
GJ 1132,12.6130000,153.7090696,-47.1549358,-2.359,0.21
GJ 1148,11.0143000,175.4326081,42.7515862,-1.869,0.36
GJ 1151,8.0362500,177.7304866,48.3732334,-2.48,0.18
GJ 1214,14.6427000,258.8313991,4.9606795,-2.431,0.21
GJ 1252,20.3730000,306.9286462,-56.4622865,-1.708,0.39
GJ 1265,10.2525000,333.4324675,-17.6870623,-2.439,0.19
GJ 143,16.3200000,51.7501882,-63.5001660,-0.706,0.73
GJ 15 A,3.5622800,4.6126677,44.0247296,-1.655,0.38
GJ 179,12.3560000,73.0245495,6.4752347,-1.796,0.38
GJ 238,15.2142000,98.4548810,-58.5250316,-1.616,0.43
GJ 251,5.5805700,103.7002499,33.2664632,-1.772,0.36
GJ 273,5.9215350,111.8520910,5.2258070,-2.056,0.29
GJ 3021,17.5559000,4.0634323,-79.8514218,-0.18,0.90
GJ 3090,22.4751000,20.4384281,-46.7147234,-1.342,0.52
GJ 3138,28.4712000,32.2977385,-16.3392495,-1.347,0.50
GJ 328,20.5266000,133.7819507,1.5420011,-1.08,0.63
GJ 3293,20.1903000,67.1484425,-25.1713396,-1.658,0.40
GJ 3323,5.3748400,75.4868824,-6.9485133,-2.569,0.12
GJ 3341,23.6190000,78.9471415,-31.2948458,-1.538,0.44
GJ 338 B,6.3325600,138.5916722,52.6835211,-1.101,0.58
GJ 3470,29.4214000,119.7735021,15.3912090,-1.538,0.48
GJ 3473,27.3644000,120.5936065,3.3371629,-1.824,0.36
GJ 3512,9.4863700,130.3316616,59.4918364,-2.804,0.14
GJ 357,9.4418100,144.0074644,-21.6650634,-1.798,0.34
GJ 3634,20.3779000,164.6433493,-31.1443383,-1.699,0.43
GJ 367,9.4126300,146.1214640,-45.7790165,-1.541,0.46
GJ 3779,13.7430000,200.7335358,24.4639425,-2.062,0.28
GJ 3929,15.8095000,239.5775678,35.4081141,-1.937,0.32
GJ 393,7.0314900,157.2288672,0.8378485,-1.571,0.43
GJ 3942,16.9287000,242.2645452,52.9441443,-1.12,0.61
GJ 3988,9.9105000,255.8503747,51.4089795,-2.395,0.20
GJ 3998,18.1459000,259.0020507,11.0561751,-1.387,0.49
GJ 411,5.6757730,165.8344710,35.9723170,-1.71,0.39
GJ 414 A,11.8893000,167.7745044,30.4451688,-0.924,0.68
GJ 4276,21.3362000,336.3221454,59.4125030,-1.706,0.41
GJ 436,9.7532100,175.5505363,26.7030669,-1.585,0.46
GJ 486,8.0742600,191.9815310,9.7494181,-1.916,0.34
GJ 514,7.6177800,202.5040424,10.3725387,-1.367,0.50
GJ 536,10.4092000,210.2597264,-2.6522901,-1.373,0.51
GJ 581,6.2981000,229.8564725,-7.7226935,-1.886,0.29
GJ 625,6.4724900,246.3557854,54.3033625,-1.894,0.31
GJ 649,10.3796000,254.5363221,25.7419719,-1.361,0.50
GJ 685,14.3155000,263.8960378,61.6793482,-1.253,0.54
GJ 687,4.5493900,264.1041731,68.3336741,-1.672,0.42
GJ 720 A,15.5575000,278.8294172,45.7456038,-1.217,0.56
GJ 724,16.9658000,280.2383650,-13.3824997,-1.291,0.52
GJ 740,11.1017000,284.4997178,5.9028670,-1.206,0.56
GJ 806,12.0445000,311.2697002,44.5002351,-1.585,0.41
GJ 849,8.8005800,332.4229938,-4.6408317,-1.59,0.45
GJ 876,4.6751700,343.3239737,-14.2665958,-1.893,0.35
GJ 887,3.2900000,346.4668274,-35.8530693,-1.434,0.47
GJ 9066,4.4710000,30.0588307,13.0443172,-2.595,0.16
GJ 9689,30.6203000,303.4677310,13.3888921,-1.2,0.57
GPX-1,655.0130000,38.3691648,56.0257080,0.727,1.56
GSC 06214-00210,108.5000000,245.4776921,-20.7193398,-0.546,0.90
Gl 378,14.9545000,150.5865513,48.0824515,-1.222,0.56
Gl 49,9.8528000,15.6687321,62.3454386,-1.306,0.51
Gl 686,8.1572800,264.4764878,18.5959509,-1.523,0.43
